"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
15.76,6.86,115,0,71.5,14.72,"Equipo_2","Auth","Medium","Success"
6.76,6.79,143,1,68.95,21.58,"Equipo_1","Database","Medium","Success"
9.2,6.08,128,3,71.37,12.44,"Equipo_2","Auth","Low","Success"
4.92,5.44,134,1,89.56,5.91,"Equipo_2","Dashboard","Low","Success"
8.56,8.39,102,1,65.86,28.57,"Equipo_2","Database","Low","Success"
6.43,8.46,127,6,67.8,20.12,"Equipo_4","Payments","Medium","Success"
19.6,8.93,132,3,69.09,20.07,"Equipo_4","Auth","Low","Success"
8.74,10.21,124,0,82.79,8.73,"Equipo_4","Dashboard","Medium","Success"
4.98,6.88,107,1,76.19,29.13,"Equipo_2","API","High","Success"
4.07,3.12,119,0,74.97,22.48,"Equipo_5","Database","Low","Success"
15.44,9.4,124,1,53.49,9.36,"Equipo_5","Database","Medium","Success"
13.63,8.38,118,2,93.87,14.96,"Equipo_1","Database","Low","Success"
13.13,7.32,135,0,63.99,9.19,"Equipo_1","Dashboard","Medium","Success"
11.16,10.51,119,0,98.75,20.66,"Equipo_2","Dashboard","Medium","Success"
13.56,4.55,108,1,82.49,23.2,"Equipo_1","Database","High","Success"
5.88,8.61,95,1,60.94,20.06,"Equipo_2","Database","Medium","Success"
7.75,9.1,145,4,62.45,36.37,"Equipo_5","Auth","High","Success"
19.09,11.49,126,0,75.53,16.01,"Equipo_5","API","Low","Success"
17.8,14.14,125,1,76.97,8,"Equipo_4","Auth","Medium","Success"
10.58,11.33,111,0,50.39,42.91,"Equipo_4","API","Medium","Success"
10.33,8.08,110,1,99.62,16.1,"Equipo_3","API","Medium","Success"
7.41,9.45,144,0,93.72,11.31,"Equipo_3","Database","Medium","Success"
3.07,12.41,108,1,84.69,8.67,"Equipo_4","API","Low","Success"
5.42,6.68,126,2,91.35,6.84,"Equipo_3","Auth","Low","Success"
11.04,7.3,108,2,48.84,26.23,"Equipo_3","API","High","Success"
12.24,4.79,134,1,80.85,28.44,"Equipo_3","Payments","Medium","Success"
13.93,4.95,111,2,78.02,13.33,"Equipo_4","Database","Medium","Success"
6.6,6,113,0,56.08,19.55,"Equipo_1","API","Low","Failed"
6.26,4.42,127,1,88.49,12.6,"Equipo_4","API","Medium","Success"
5.98,8.48,135,0,91.58,17.66,"Equipo_2","API","Medium","Success"
11.63,11.66,120,3,46.3,8.66,"Equipo_5","Payments","High","Success"
7.7,5.13,119,2,82.26,15.63,"Equipo_5","Database","Medium","Success"
9.9,2.65,123,0,73.84,6.25,"Equipo_5","Auth","Medium","Success"
7.53,8.95,137,2,58.96,7.94,"Equipo_1","API","High","Success"
9.69,5.67,129,2,77.87,13.11,"Equipo_4","Database","Medium","Success"
4.21,4.6,116,1,58.71,12.33,"Equipo_5","Auth","Medium","Failed"
10.93,7.56,106,3,99.28,19.24,"Equipo_1","Database","High","Failed"
5.89,10.2,131,0,65.91,8.93,"Equipo_4","Auth","Low","Success"
11.85,5,121,2,96.62,11.49,"Equipo_3","Dashboard","Low","Failed"
9.16,6.94,128,0,47.64,24.77,"Equipo_4","Auth","Low","Success"
10.33,8.56,121,3,49.33,6.81,"Equipo_1","Dashboard","Medium","Success"
5.99,8.74,130,1,82.67,22.67,"Equipo_2","Database","Low","Success"
16.93,6.14,116,1,73.88,39.56,"Equipo_2","Auth","Low","Success"
11.93,7.17,130,2,58.2,28.66,"Equipo_3","Auth","Low","Success"
9.38,9.28,116,0,68.45,21.22,"Equipo_4","Dashboard","Medium","Success"
10.21,10.03,120,0,84.62,29.55,"Equipo_2","API","Medium","Success"
12.11,6.2,127,2,57.39,7.57,"Equipo_2","API","Medium","Success"
9.39,5.81,124,0,79.66,16.25,"Equipo_2","Auth","High","Success"
13.67,7.17,116,0,85.87,23.74,"Equipo_4","Database","Low","Success"
8.07,5.92,120,1,46.46,11.21,"Equipo_3","Database","Low","Success"
11.64,13.34,117,1,77.82,21.72,"Equipo_3","API","Low","Success"
15.92,15.65,108,2,59.28,21.84,"Equipo_3","API","Low","Success"
6.18,7.77,127,3,48.75,29.75,"Equipo_5","API","Low","Success"
10.15,4.62,126,2,76.69,14.52,"Equipo_3","API","High","Success"
16.68,10.23,117,3,46.07,19.99,"Equipo_3","Dashboard","High","Success"
9.87,6.87,130,1,87.23,8.96,"Equipo_5","Auth","Low","Success"
4.61,5.8,110,1,71.83,1.05,"Equipo_5","API","Low","Success"
5.12,5.36,128,1,63.18,10.28,"Equipo_4","Database","Medium","Success"
12.56,9.92,122,1,99.46,5.11,"Equipo_4","Auth","High","Success"
13.25,4.68,106,2,61.32,25.17,"Equipo_1","Dashboard","Low","Success"
17.04,3.62,108,0,51.15,4.95,"Equipo_3","Database","Medium","Success"
5.13,6.86,149,4,89.1,15.54,"Equipo_5","Auth","Low","Success"
12.55,8.15,105,0,86.27,14.09,"Equipo_3","Dashboard","Low","Success"
11.08,9.93,119,1,83.74,14.68,"Equipo_3","API","Low","Success"
5.63,11.8,119,2,58.02,71.25,"Equipo_5","Auth","Medium","Success"
11.1,8.42,119,1,93.25,92.97,"Equipo_5","Database","Low","Failed"
